Lophotrochozoa	Capitella_teleta Echinoplana_celerrima Macrostomum_lignano Golfingia_vulgaris Lottia_gigantea Loligo_pealei Cerebratulus_spp. 
Porifera	Leucosolenia_complicata Sycon_ciliatum Amphimedon_queenslandica Ephydatia_muelleri Ircinia_fasciculata Oscarella_carmela Chondrilla_nucula 
Xenacoelomorpha	Meara_stichopi Nemertoderma_westbladi Paratomella_rubra Isodiametra_pulchra Symsagittifera_roscoffensis Hofstenia_miamia Praesagittifera_naikaiensis Pseudaphanostoma_variabilis Xenoturbella_bocki 
Chordata	Branchiostoma_floridae Botryllus_schlosseri Ciona_intestinalis Ciona_savignyi Homo_sapiens Danio_rerio Petromyzon_marinus Xenopus_tropicalis 
Ecdysozoa	Daphnia_pulex Ixodes_scapularis Pediculus_humanus Tribolium_castaneum Peripatopsis_capensis Priapulus_caudatus 
Ambulacraria	Balanoglossus_cf._aurantica_JTC2014 Ptychodera_bahamensis Harrimaniidae_sp._n._clade_1_JTC2014 Saccoglossus_kowalevskii Cephalodiscus_gracilis Rhabdopleura_compacta Schizocardium_cf._brasiliense_JTC2014 Asterias_forbesi Patiria_miniata Ophiocoma_echinata Echinarachnius_parma Strongylocentrotus_purpuratus Stichopus_japonicus Sclerodactyla_briareus Oxycomanthus_japonicus 
Cnidaria	Nematostella_vectensis Acropora_cervicornis Stomolophus_meleagris Aiptasia_pallida Hydra_magnipapillata Nanomia_bijuga 
