Clan	1	0	?
Lophotrochozoa	212	
Porifera	8	204	
Ctenophora	150	10	52	
Xenacoelomorpha	212	
Chordata	10	202	
Ecdysozoa	14	198	
Ambulacraria	47	165	
Cnidaria	40	169	3	
Protostomia	212	
Deuterostomia	4	208	
Bilateria	212	
