Clan	1	0	?
Lophotrochozoa	202	971	
Porifera	244	918	11	
Xenacoelomorpha	167	1006	
Chordata	123	1050	
Ecdysozoa	165	991	17	
Ambulacraria	301	872	
Cnidaria	461	711	1	
Protostomia	113	1060	
Deuterostomia	9	1164	
Bilateria	240	933	
