Tree number	size	Clan 1	Clan 2	Clan 3	Clan 4	Clan 5	Clan 6	Clan 7	Clan 8	Clan 9	Clan 10	boot_average	boot_max	boot_min	boot_stdev
Tree 285	54	0	0	0	0	0	0	1	0	0	0	72.921570	100.000000	16.000000	25.987061
Tree 286	45	0	0	0	0	0	0	0	0	0	0	70.642860	100.000000	13.000000	24.765396
Tree 287	46	0	0	0	0	0	1	1	0	0	0	76.906975	100.000000	28.000000	24.325136
Tree 288	57	1	0	0	0	0	0	0	0	0	0	78.203705	100.000000	16.000000	25.649616
Tree 289	46	0	0	1	1	0	0	0	0	0	0	82.139534	100.000000	34.000000	20.605465
Tree 290	48	0	0	0	0	0	0	0	0	0	0	76.800003	100.000000	23.000000	26.061125
Tree 291	47	0	1	0	0	0	0	0	0	0	0	72.090912	100.000000	6.000000	27.626421
Tree 292	43	0	1	0	0	1	0	0	0	0	0	71.150002	100.000000	22.000000	23.634245
Tree 293	51	1	0	0	1	0	0	0	0	0	0	72.937500	100.000000	27.000000	22.415031
Tree 294	56	0	0	0	0	0	0	0	0	0	0	74.528305	100.000000	11.000000	27.315489
Tree 295	49	0	0	0	0	0	1	0	0	0	0	69.826088	100.000000	18.000000	25.497059
Tree 296	44	0	0	1	0	?	1	1	0	0	0	84.780487	100.000000	43.000000	16.479866
Tree 297	58	0	0	0	1	0	0	0	0	0	0	80.636360	100.000000	21.000000	25.350895
Tree 298	45	0	0	0	0	0	0	0	0	0	0	61.238094	100.000000	17.000000	29.277662
Tree 299	56	0	0	0	0	0	0	1	0	0	0	76.962265	100.000000	17.000000	26.757444
Tree 300	52	0	1	1	0	0	0	1	0	0	1	81.061226	100.000000	29.000000	20.850691
Tree 301	54	0	0	0	0	0	0	0	0	0	0	72.274513	100.000000	17.000000	24.548536
Tree 302	49	0	0	0	0	0	1	1	0	0	1	79.608696	100.000000	23.000000	22.825880
Tree 303	47	0	0	0	0	1	0	1	0	0	0	81.250000	100.000000	28.000000	25.081799
Tree 304	47	0	1	0	0	0	0	1	0	0	1	70.477272	100.000000	24.000000	24.999537
Tree 305	46	0	0	0	0	0	0	1	0	0	1	82.627907	100.000000	27.000000	20.052284
Tree 306	49	0	0	0	0	0	0	0	0	0	0	70.217392	100.000000	24.000000	23.038637
Tree 307	54	0	0	0	0	0	0	1	0	0	1	87.509804	100.000000	34.000000	18.588816
Tree 308	50	1	1	0	0	0	0	1	0	0	1	71.787231	100.000000	19.000000	26.785147
Tree 309	46	0	0	0	0	0	0	0	0	0	0	67.930229	100.000000	18.000000	24.253885
Tree 310	48	0	0	0	0	0	0	0	0	0	1	73.355553	100.000000	25.000000	24.026979
Tree 311	45	0	1	0	0	0	0	0	0	0	0	65.357140	100.000000	17.000000	24.042444
Tree 312	56	1	1	1	0	0	1	1	0	0	1	80.339622	100.000000	23.000000	23.776430
Tree 313	49	0	0	0	0	0	0	0	0	0	0	67.891304	100.000000	27.000000	23.829311
Tree 314	45	0	0	1	0	1	0	0	1	0	1	80.666664	100.000000	31.000000	22.569118
Tree 315	52	1	0	0	0	0	0	0	0	0	0	75.244896	100.000000	16.000000	24.580172
Tree 316	45	0	0	0	0	0	0	0	0	0	0	72.642860	100.000000	30.000000	23.973024
Tree 317	49	0	0	0	0	0	0	0	0	0	0	72.065216	100.000000	21.000000	23.715158
Tree 318	50	0	1	0	0	0	1	1	0	0	0	84.340424	100.000000	17.000000	21.717995
Tree 319	52	0	0	0	0	0	0	0	0	0	0	63.285713	100.000000	15.000000	25.934771
Tree 320	48	0	0	1	0	0	0	1	0	0	0	70.866669	100.000000	14.000000	28.355366
Tree 321	52	0	0	0	0	0	0	0	0	0	0	66.163269	100.000000	17.000000	29.360773
Tree 322	51	0	0	0	0	0	0	0	0	0	0	72.020836	100.000000	9.000000	26.079597
Tree 323	53	0	0	0	0	0	0	0	0	0	0	78.660004	100.000000	20.000000	23.734034
Tree 324	52	0	1	0	1	0	0	1	0	0	1	78.673470	100.000000	17.000000	22.209934
Tree 325	51	0	0	0	0	0	0	0	0	0	0	71.145836	100.000000	17.000000	28.511684
Tree 326	53	1	0	0	1	1	1	0	1	0	0	88.040001	100.000000	55.000000	15.558869
Tree 327	58	0	0	0	0	0	1	0	0	0	1	77.763634	100.000000	14.000000	28.401001
Tree 328	53	0	0	0	0	0	0	0	0	0	0	74.599998	100.000000	26.000000	23.130066
Tree 329	51	0	1	0	0	0	0	1	0	0	0	82.458336	100.000000	27.000000	20.529408
Tree 330	51	0	0	0	0	0	1	1	0	0	0	74.125000	100.000000	4.000000	30.113413
Tree 331	45	1	1	0	0	0	0	0	0	0	0	78.476189	100.000000	25.000000	22.141577
Tree 332	46	0	1	1	0	1	1	1	1	0	1	91.162788	100.000000	44.000000	12.842390
Tree 333	49	1	0	1	0	0	0	1	0	0	0	82.478264	100.000000	25.000000	21.854000
Tree 334	46	0	1	1	0	0	1	0	0	0	0	80.930229	100.000000	26.000000	23.843870
Tree 335	47	1	0	0	0	0	0	1	0	0	0	73.113640	100.000000	24.000000	27.711351
Tree 336	52	0	0	0	0	0	0	0	0	0	0	75.979591	100.000000	15.000000	24.786839
Tree 337	52	1	0	0	1	0	1	0	0	0	0	73.285713	100.000000	15.000000	24.159332
Tree 338	47	0	0	0	0	0	1	1	1	0	0	85.181816	100.000000	54.000000	14.332532
Tree 339	51	1	1	0	0	0	0	0	0	0	1	78.250000	100.000000	35.000000	20.113739
Tree 340	54	0	0	0	0	0	0	0	0	0	0	72.215683	100.000000	16.000000	27.601730
Tree 341	55	0	0	0	0	0	0	0	0	0	0	72.057693	100.000000	17.000000	28.038036
Tree 342	55	0	0	0	0	1	0	1	0	0	1	80.730766	100.000000	27.000000	23.291723
Tree 343	49	0	0	0	0	?	0	1	0	0	0	70.782608	100.000000	23.000000	27.401932
Tree 344	55	0	0	0	0	0	0	0	0	0	0	76.000000	100.000000	25.000000	23.174919
Tree 345	47	0	0	0	0	0	0	0	0	0	0	72.522728	100.000000	22.000000	23.343765
Tree 346	52	0	0	0	0	1	1	0	0	0	0	77.265305	100.000000	21.000000	24.318279
Tree 347	45	0	1	0	0	1	1	1	0	0	1	83.333336	100.000000	14.000000	18.476067
Tree 348	48	0	0	0	0	0	0	0	1	0	0	71.444443	100.000000	15.000000	28.191057
Tree 349	54	0	0	0	0	0	0	1	0	0	0	80.980392	100.000000	43.000000	18.239677
Tree 350	47	0	0	0	0	0	0	1	0	0	0	67.250000	100.000000	16.000000	26.569057
Tree 351	48	0	0	0	0	0	0	0	0	0	0	63.666668	100.000000	12.000000	24.661261
Tree 352	51	1	1	1	0	0	1	0	0	0	0	78.895836	100.000000	25.000000	25.857979
Tree 353	53	0	0	0	0	0	0	0	0	0	0	69.160004	100.000000	27.000000	23.033333
Tree 354	51	0	0	0	0	0	0	0	0	0	0	67.020836	100.000000	6.000000	31.230654
Tree 355	50	0	0	0	0	0	1	1	0	0	0	71.659576	100.000000	15.000000	24.155767
Tree 356	44	0	0	1	0	0	0	0	0	0	0	68.463417	100.000000	13.000000	27.232599
Tree 357	43	0	1	1	0	0	0	1	0	0	0	77.925003	100.000000	20.000000	24.071131
Tree 358	47	0	0	0	0	?	0	0	0	0	0	71.977272	100.000000	20.000000	24.067604
Tree 359	49	0	1	0	0	0	1	1	0	0	0	80.173912	100.000000	24.000000	22.231298
Tree 360	52	1	1	1	0	1	1	1	1	0	1	89.816330	100.000000	52.000000	13.642181
Tree 361	51	1	0	0	0	0	1	1	0	0	0	79.854164	100.000000	24.000000	21.262239
Tree 362	54	0	0	0	0	0	0	0	0	0	0	67.745094	100.000000	18.000000	26.204208
Tree 363	51	0	0	0	0	0	0	0	0	0	0	72.229164	100.000000	25.000000	23.478928
Tree 364	55	0	0	0	0	0	0	0	0	0	0	75.673080	100.000000	17.000000	26.669428
Tree 365	49	0	0	0	0	0	0	1	0	0	0	81.260872	100.000000	21.000000	22.398012
Tree 366	57	0	0	0	0	0	0	0	0	0	0	67.055557	100.000000	18.000000	25.744053
Tree 367	47	0	0	1	0	0	0	1	0	0	1	85.659088	100.000000	43.000000	16.544626
Tree 368	50	0	0	0	0	1	0	0	1	0	0	70.361702	100.000000	22.000000	20.106552
Tree 369	52	0	0	0	0	0	0	0	0	0	0	75.653061	100.000000	11.000000	26.253513
Tree 370	50	0	0	0	0	0	0	0	0	0	0	78.617020	100.000000	21.000000	24.571695
Tree 371	53	0	0	0	0	0	1	1	0	0	0	80.559998	100.000000	21.000000	21.292402
Tree 372	46	0	0	0	1	0	0	0	0	0	0	76.279068	100.000000	17.000000	25.599167
Tree 373	49	1	0	0	1	0	0	0	1	0	0	83.934784	100.000000	31.000000	18.333153
Tree 374	48	1	0	0	0	1	0	0	0	0	0	70.866669	100.000000	22.000000	23.092667
Tree 375	47	0	0	0	0	0	0	0	0	0	0	72.409088	100.000000	7.000000	26.045692
Tree 376	54	0	0	0	0	0	0	1	0	0	1	73.019608	100.000000	19.000000	26.407433
Tree 377	51	1	1	0	0	0	0	0	0	0	0	84.583336	100.000000	30.000000	19.899574
Tree 378	50	0	1	0	0	1	0	0	0	0	0	75.148933	100.000000	17.000000	24.092005
Tree 379	46	0	0	0	0	0	0	0	0	0	0	62.837208	100.000000	14.000000	28.484127
Tree 380	56	1	0	0	1	0	1	1	0	0	1	77.735847	100.000000	27.000000	26.090664
Tree 381	49	0	1	0	0	0	0	1	0	0	0	68.608696	100.000000	10.000000	29.827387
Tree 382	44	0	0	1	1	0	0	1	1	0	0	79.951218	100.000000	18.000000	24.482897
Tree 383	56	0	1	0	0	0	0	1	0	0	1	79.339622	100.000000	32.000000	19.964066
Tree 384	52	1	1	0	0	0	1	1	0	0	0	76.163269	100.000000	13.000000	26.368151
Tree 385	56	0	1	0	0	0	1	1	0	0	1	85.830185	100.000000	31.000000	18.649431
Tree 386	54	0	0	0	0	0	0	0	0	0	0	75.058823	100.000000	17.000000	26.068096
Tree 387	50	1	0	0	0	0	1	1	0	0	0	78.127663	100.000000	30.000000	24.217646
Tree 388	57	0	0	0	0	0	0	0	0	0	0	73.740738	100.000000	26.000000	26.291241
Tree 389	47	0	0	0	0	0	0	0	0	0	0	72.545456	100.000000	12.000000	26.786575
Tree 390	45	0	0	0	0	0	0	0	0	0	0	53.785713	100.000000	17.000000	23.704065
Tree 391	49	1	0	0	0	0	0	0	0	0	0	69.043480	100.000000	0.000000	25.605669
Tree 392	50	0	0	0	1	0	0	0	0	0	0	64.957443	100.000000	16.000000	26.926979
Tree 393	50	0	0	0	0	0	0	1	0	0	1	71.744682	100.000000	21.000000	24.931795
Tree 394	55	0	1	0	0	0	0	0	0	0	0	83.403847	100.000000	27.000000	21.697447
Tree 395	46	0	0	0	1	0	0	1	1	0	0	81.534882	100.000000	37.000000	18.177866
Tree 396	52	0	0	0	0	0	0	0	0	0	0	69.877548	100.000000	14.000000	27.524855
Tree 397	48	0	0	0	0	0	0	0	0	0	0	67.733330	100.000000	13.000000	28.700293
Tree 398	53	0	0	0	1	0	0	1	0	0	1	78.300003	100.000000	23.000000	24.837269
Tree 399	48	0	0	0	0	0	1	0	0	0	0	73.977776	100.000000	22.000000	26.345980
Tree 400	45	0	0	0	0	0	0	1	0	0	0	71.619049	100.000000	13.000000	27.486750
Tree 401	56	0	1	0	0	0	0	1	0	0	1	81.132072	100.000000	22.000000	22.606592
Tree 402	55	0	0	0	0	0	0	1	0	0	1	83.730766	100.000000	28.000000	19.105087
Tree 403	52	0	1	0	1	1	0	1	1	0	0	78.244896	100.000000	31.000000	22.534809
Tree 404	52	0	0	0	1	0	0	0	0	0	0	69.061226	100.000000	22.000000	25.957111
Tree 405	43	0	0	0	0	0	0	0	0	0	0	55.400002	99.000000	0.000000	31.556932
Tree 406	47	0	0	1	1	0	0	1	0	0	1	77.500000	100.000000	18.000000	25.828543
Tree 407	44	0	0	1	0	?	0	0	0	0	0	78.829269	100.000000	29.000000	21.968828
Tree 408	49	1	0	1	0	0	1	0	0	0	0	77.782608	100.000000	29.000000	22.078825
Tree 409	47	0	0	0	0	0	0	0	0	0	0	66.295456	100.000000	20.000000	27.895567
Tree 410	50	0	0	0	0	0	0	1	0	0	0	72.851067	100.000000	12.000000	22.309216
Tree 411	49	0	1	0	0	0	1	0	0	0	0	59.347828	100.000000	17.000000	31.555483
Tree 412	54	0	1	0	0	0	1	1	0	0	1	82.607841	100.000000	20.000000	24.259281
Tree 413	53	0	0	0	0	0	0	0	0	0	0	78.199997	100.000000	19.000000	19.359753
Tree 414	54	0	0	0	0	0	1	1	0	0	0	77.490196	100.000000	18.000000	20.656263
Tree 415	43	0	0	0	0	1	0	0	0	0	0	66.849998	100.000000	20.000000	28.364193
Tree 416	47	0	0	0	0	0	0	0	0	0	0	64.386360	100.000000	13.000000	27.746593
Tree 417	47	0	0	0	0	0	0	0	0	0	0	64.952377	100.000000	3.000000	32.166943
Tree 418	52	1	0	1	0	0	1	0	0	0	0	83.959183	100.000000	37.000000	19.528065
Tree 419	55	0	1	1	0	0	1	0	0	0	1	81.500000	100.000000	29.000000	21.745468
Tree 420	43	1	0	0	0	?	0	1	1	0	0	72.400002	100.000000	21.000000	29.177732
Tree 421	50	0	0	0	0	0	1	1	0	0	1	68.680855	100.000000	15.000000	23.832848
Tree 422	50	0	0	0	1	0	0	0	1	0	0	84.446808	100.000000	21.000000	21.832836
Tree 423	55	0	0	0	0	0	0	0	0	0	0	73.846153	100.000000	23.000000	23.953791
Tree 424	49	0	0	0	0	0	0	0	0	0	1	76.130432	100.000000	18.000000	26.894003
Tree 425	45	0	0	0	0	0	0	0	0	0	0	73.595238	100.000000	30.000000	23.132187
Tree 426	48	0	0	0	0	0	0	0	0	0	0	75.533333	100.000000	17.000000	27.631382
Tree 427	52	0	0	0	0	0	0	0	0	0	0	70.122452	100.000000	15.000000	24.735031
Tree 428	50	0	0	0	0	0	0	1	0	0	1	69.489365	100.000000	23.000000	24.281042
Tree 429	51	0	0	0	0	0	0	0	0	0	0	77.187500	100.000000	34.000000	21.974091
Tree 430	49	0	0	0	0	0	0	0	0	0	0	69.239128	100.000000	22.000000	24.962740
Tree 431	50	0	0	0	1	0	0	1	0	0	0	79.361702	100.000000	22.000000	24.561190
Tree 432	54	0	0	0	0	0	0	1	0	0	0	76.313728	100.000000	10.000000	23.754042
Tree 433	53	0	0	0	0	0	0	0	0	0	0	77.180000	100.000000	27.000000	21.969696
Tree 434	48	0	0	1	0	0	0	1	0	0	0	76.844444	100.000000	21.000000	22.923985
Tree 435	49	0	1	0	0	0	0	0	0	0	0	50.673912	99.000000	0.000000	35.170425
Tree 436	44	0	1	0	0	0	0	1	0	0	0	68.878052	100.000000	14.000000	25.988920
Tree 437	50	0	0	0	0	0	1	0	0	0	0	76.106384	100.000000	24.000000	22.402731
Tree 438	46	0	0	0	0	0	0	0	0	0	0	66.069771	100.000000	3.000000	28.864077
Tree 439	48	0	0	0	0	0	0	0	0	0	0	69.066666	100.000000	23.000000	24.803583
Tree 440	46	0	0	0	0	0	0	1	0	0	0	69.441864	100.000000	4.000000	26.734091
Tree 441	51	0	0	0	0	0	0	0	0	0	0	65.270836	100.000000	9.000000	26.269230
Tree 442	50	0	1	0	0	0	1	1	0	0	1	86.553192	100.000000	21.000000	20.975983
Tree 443	54	0	0	0	0	0	0	0	0	0	0	72.568626	100.000000	24.000000	26.302357
Tree 444	45	0	1	0	0	0	1	1	0	0	1	75.095238	100.000000	3.000000	26.433031
Tree 445	52	0	0	0	0	0	0	0	0	0	0	71.673470	100.000000	21.000000	26.423853
Tree 446	49	0	0	0	0	0	0	0	0	0	0	71.434784	100.000000	10.000000	27.167477
Tree 447	48	0	0	0	0	0	0	0	0	0	0	67.311111	100.000000	11.000000	27.351881
Tree 448	52	0	0	0	0	0	0	1	0	0	0	75.448982	100.000000	31.000000	22.914268
Tree 449	45	0	0	0	0	1	0	0	0	0	1	77.095238	100.000000	19.000000	27.298014
Tree 450	48	1	0	1	0	0	0	1	0	0	1	73.422226	100.000000	31.000000	22.167532
Tree 451	52	0	1	1	0	0	1	1	1	0	1	90.489799	100.000000	51.000000	12.269295
Tree 452	47	1	0	0	0	0	1	0	0	0	1	83.022728	100.000000	38.000000	20.444479
Tree 453	55	0	0	0	0	0	0	0	0	0	0	64.769234	100.000000	24.000000	26.744240
Tree 454	51	0	1	0	0	0	0	0	0	0	0	79.604164	100.000000	34.000000	21.107603
Tree 455	44	0	?	0	0	0	0	0	0	0	0	62.512196	100.000000	17.000000	27.776217
Tree 456	54	0	0	0	0	0	0	1	0	0	0	76.980392	100.000000	25.000000	23.482567
Tree 457	45	0	0	0	0	0	0	0	0	0	0	57.523811	100.000000	15.000000	25.565264
Tree 458	53	0	0	0	0	0	0	0	0	0	0	70.800003	100.000000	15.000000	26.175564
Tree 459	48	0	0	0	1	0	1	1	0	0	1	84.555557	100.000000	31.000000	22.629929
Tree 460	48	1	0	0	0	0	1	0	0	0	0	78.088890	100.000000	11.000000	26.103916
Tree 461	49	0	0	0	0	0	0	1	0	0	0	65.130432	100.000000	7.000000	29.179808
Tree 462	48	0	0	0	0	0	0	0	0	0	0	68.511108	100.000000	12.000000	28.372620
Tree 463	45	0	1	1	1	1	1	1	0	0	1	83.071426	100.000000	28.000000	20.786203
Tree 464	50	0	0	0	0	0	0	1	0	0	0	70.127663	100.000000	15.000000	27.543093
Tree 465	44	0	0	0	0	0	0	0	0	0	0	66.463417	100.000000	14.000000	25.947504
Tree 466	45	1	0	0	0	1	1	1	1	0	1	83.904762	100.000000	31.000000	22.162613
Tree 467	43	0	1	0	0	0	0	1	0	0	0	73.900002	100.000000	12.000000	27.078403
Tree 468	43	0	0	0	0	0	0	0	0	0	0	71.375000	100.000000	18.000000	27.248566
Tree 469	53	0	0	0	0	0	0	0	0	0	0	62.340000	100.000000	5.000000	30.242098
Tree 470	50	1	1	1	0	0	1	1	1	0	1	82.000000	100.000000	32.000000	21.257290
Tree 471	45	0	0	0	0	0	0	0	0	0	0	71.142860	100.000000	26.000000	25.288404
Tree 472	45	0	0	0	0	1	1	1	0	0	0	80.690475	100.000000	31.000000	21.343548
Tree 473	44	0	0	0	0	0	0	0	0	0	0	66.292686	100.000000	24.000000	23.096027
Tree 474	56	0	0	0	0	0	0	0	0	0	0	76.132072	100.000000	9.000000	23.511568
Tree 475	54	1	0	0	0	0	0	0	0	0	0	71.843140	100.000000	21.000000	24.298288
Tree 476	50	0	1	0	0	0	0	0	0	0	0	78.617020	100.000000	30.000000	20.458109
Tree 477	55	0	0	0	0	0	1	0	0	0	0	78.019234	100.000000	21.000000	21.885622
Tree 478	56	0	0	0	0	0	0	0	0	0	0	74.433960	100.000000	30.000000	23.356554
Tree 479	51	0	0	0	0	0	0	0	0	0	0	68.687500	100.000000	21.000000	26.909693
Tree 480	50	0	0	0	0	0	0	0	0	0	0	66.382980	100.000000	19.000000	26.433016
Tree 481	51	0	0	0	0	0	1	0	0	0	0	75.458336	100.000000	33.000000	19.935268
Tree 482	44	0	0	1	1	0	1	0	0	1	0	82.829269	100.000000	32.000000	19.620674
Tree 483	49	0	0	1	0	0	1	0	0	0	0	79.260872	100.000000	15.000000	26.915676
Tree 484	50	0	0	0	0	0	0	0	0	0	0	76.659576	100.000000	19.000000	23.026604
Tree 485	44	0	0	0	0	1	0	1	0	0	0	66.731705	100.000000	12.000000	30.417440
Tree 486	45	0	1	0	1	1	0	1	0	0	0	71.833336	100.000000	33.000000	25.059847
Tree 487	48	0	1	0	0	1	0	0	0	0	0	76.888885	100.000000	18.000000	24.446970
Tree 488	48	0	0	0	0	0	1	1	0	0	0	78.622223	100.000000	20.000000	23.385931
Tree 489	48	0	0	0	0	0	0	0	0	0	0	75.088890	100.000000	27.000000	24.195337
Tree 490	53	1	1	0	1	0	0	1	1	0	1	86.900002	100.000000	39.000000	17.341570
Tree 491	48	0	0	0	1	0	1	0	0	0	0	74.599998	100.000000	17.000000	22.670979
Tree 492	45	0	0	0	0	0	0	1	1	0	0	75.071426	100.000000	25.000000	24.813005
Tree 493	53	0	0	0	0	0	0	0	0	0	0	71.440002	100.000000	6.000000	26.005507
Tree 494	43	0	0	0	0	0	0	0	0	0	0	53.650002	100.000000	7.000000	26.630388
Tree 495	53	0	0	0	0	0	0	1	0	0	0	70.800003	100.000000	15.000000	28.567818
Tree 496	52	0	0	0	1	0	0	0	0	0	1	76.979591	100.000000	36.000000	24.553558
Tree 497	54	0	0	0	0	0	0	0	0	0	0	71.313728	100.000000	11.000000	24.270123
Tree 498	49	0	1	0	0	0	0	1	0	0	0	72.260872	100.000000	9.000000	24.326077
Tree 499	45	1	1	0	0	?	0	0	1	0	0	68.023811	100.000000	29.000000	26.122868
Tree 500	48	1	0	1	1	1	0	0	0	0	0	82.711113	100.000000	9.000000	26.364643
Tree 501	51	0	0	0	0	0	0	0	0	0	0	78.500000	100.000000	26.000000	20.745481
Tree 502	54	0	0	0	0	0	0	0	0	0	0	73.686272	100.000000	20.000000	25.131411
Tree 503	56	0	0	0	0	0	0	0	0	0	0	82.358490	100.000000	31.000000	18.651817
Tree 504	56	0	0	0	0	1	0	1	0	0	1	84.188683	100.000000	13.000000	21.307329
Tree 505	49	0	0	0	0	0	0	0	0	0	0	73.869568	100.000000	18.000000	27.548855
Tree 506	46	0	1	0	0	0	0	0	0	0	0	64.046509	100.000000	13.000000	28.121790
Tree 507	49	0	0	0	0	0	0	0	0	0	0	65.260872	100.000000	6.000000	29.354233
Tree 508	49	0	0	0	0	1	0	1	0	0	0	76.978264	100.000000	23.000000	25.032578
Tree 509	46	0	0	0	1	0	0	0	0	0	0	67.046509	100.000000	19.000000	26.759871
Tree 510	48	1	1	1	0	1	0	1	0	0	0	75.222221	100.000000	20.000000	26.002468
Tree 511	55	0	1	0	0	0	0	1	0	0	0	72.403847	100.000000	21.000000	26.464241
Tree 512	47	0	1	0	1	0	0	1	0	0	1	78.250000	100.000000	19.000000	24.878910
Tree 513	46	0	0	1	0	0	0	1	0	0	0	69.325584	100.000000	21.000000	25.075439
Tree 514	54	1	0	0	0	0	0	0	0	0	0	79.176468	100.000000	44.000000	17.458864
Tree 515	45	0	0	0	0	0	0	0	0	0	0	62.902439	100.000000	1.000000	28.834095
Tree 516	53	0	0	0	0	0	0	1	0	0	0	61.660000	100.000000	1.000000	34.699635
Tree 517	48	0	0	0	0	0	0	0	0	0	0	70.911110	100.000000	27.000000	22.454716
Tree 518	53	0	0	1	1	0	0	0	0	0	0	70.440002	100.000000	22.000000	24.333647
Tree 519	52	0	0	0	0	0	0	0	0	0	0	70.612244	100.000000	21.000000	25.673632
Tree 520	51	1	1	1	0	1	1	0	0	0	1	87.354164	100.000000	45.000000	14.901747
Tree 521	49	0	0	1	0	1	0	0	1	0	1	82.521736	100.000000	20.000000	23.088432
Tree 522	49	0	0	0	0	0	0	0	0	0	0	74.913040	100.000000	23.000000	24.218952
Tree 523	45	1	0	0	0	1	1	0	0	0	0	71.833336	100.000000	18.000000	25.662571
Tree 524	50	0	0	0	0	0	0	0	0	0	0	69.106384	100.000000	16.000000	27.909603
Tree 525	50	0	1	0	0	0	0	0	0	0	0	72.170212	100.000000	20.000000	24.322584
Tree 526	54	0	0	0	0	0	0	0	0	0	0	75.019608	100.000000	10.000000	27.566309
Tree 527	45	0	?	0	0	1	0	0	0	0	0	72.523811	100.000000	25.000000	24.389927
Tree 528	44	0	1	0	0	1	0	1	0	0	0	74.146339	100.000000	32.000000	21.569584
Tree 529	53	0	0	0	0	0	0	0	0	0	0	70.760002	100.000000	17.000000	24.814157
Tree 530	49	0	0	0	0	0	0	0	0	0	0	60.239132	100.000000	5.000000	32.076797
Tree 531	54	1	1	1	0	1	1	1	0	1	1	82.549019	100.000000	18.000000	20.985815
Tree 532	45	1	1	0	0	?	1	0	0	0	1	75.476189	100.000000	29.000000	22.535938
Tree 533	54	0	0	0	0	0	0	0	0	0	0	76.078430	100.000000	10.000000	23.609442
Tree 534	49	0	0	0	0	0	0	0	0	0	0	78.173912	100.000000	31.000000	19.233467
Tree 535	51	0	0	0	0	0	1	0	0	0	0	83.833336	100.000000	36.000000	19.762480
Tree 536	50	0	0	0	0	0	1	1	0	0	0	71.744682	100.000000	19.000000	26.780802
Tree 537	51	0	0	0	0	0	0	0	0	0	0	76.312500	100.000000	15.000000	22.809134
Tree 538	46	0	0	0	0	0	1	0	0	0	0	69.534882	100.000000	33.000000	23.234245
Tree 539	49	0	0	0	0	0	1	0	0	0	0	71.413040	100.000000	3.000000	28.153751
Tree 540	53	0	0	0	0	0	0	0	0	0	0	80.040001	100.000000	21.000000	23.342634
Tree 541	48	1	0	0	0	1	0	0	0	0	0	76.288887	100.000000	29.000000	22.334448
Tree 542	56	0	0	0	0	0	0	0	0	0	0	73.018867	100.000000	6.000000	25.739985
Tree 543	46	1	1	1	0	0	0	1	0	0	1	83.046509	100.000000	27.000000	20.949501
Tree 544	50	0	0	0	0	0	0	1	0	0	0	74.297874	100.000000	23.000000	23.380219
Tree 545	51	0	0	0	0	0	0	0	0	0	0	66.770836	100.000000	25.000000	21.049782
Tree 546	43	0	1	1	1	0	0	1	0	0	1	84.250000	100.000000	33.000000	18.143524
Tree 547	55	1	0	0	1	0	0	1	0	0	0	79.057693	100.000000	22.000000	22.143251
Tree 548	47	0	0	0	1	0	1	1	0	0	0	76.272728	100.000000	13.000000	25.967079
Tree 549	48	0	0	0	0	1	0	0	0	0	0	76.533333	100.000000	30.000000	22.943991
Tree 550	57	0	0	0	0	0	0	0	0	0	0	69.962959	100.000000	15.000000	25.101250
Tree 551	49	0	0	0	0	0	1	0	0	0	0	86.934784	100.000000	35.000000	17.003073
Tree 552	53	0	0	0	0	0	0	1	0	0	0	81.040001	100.000000	28.000000	21.256489
Tree 553	45	0	1	0	0	0	1	0	0	0	0	68.238098	100.000000	10.000000	27.336363
Tree 554	50	0	0	0	0	0	0	0	0	0	0	63.851063	100.000000	13.000000	26.081688
Tree 555	50	0	0	0	0	0	0	1	0	0	0	75.085106	100.000000	23.000000	24.923571
Tree 556	48	0	0	0	0	0	0	1	0	0	0	70.533333	100.000000	18.000000	26.042358
Tree 557	51	0	0	0	0	0	0	0	0	0	0	70.000000	100.000000	16.000000	27.553736
Tree 558	51	1	0	0	0	0	1	1	1	0	0	81.062500	100.000000	24.000000	22.402945
Tree 559	48	0	0	0	0	1	1	1	0	0	0	78.977776	100.000000	13.000000	25.790169
Tree 560	46	0	0	0	0	0	0	1	0	0	0	70.279068	100.000000	24.000000	26.235361
Tree 561	47	0	0	0	0	0	0	1	1	0	0	73.500000	100.000000	30.000000	22.300121
Tree 562	51	0	0	0	0	1	1	1	0	0	0	84.979164	100.000000	27.000000	19.100054
Tree 563	48	0	0	0	0	0	0	0	0	0	0	63.555557	100.000000	15.000000	29.893559
Tree 564	50	0	0	0	0	0	1	0	0	0	0	71.106384	100.000000	22.000000	26.416656
Tree 565	46	0	0	0	0	0	0	1	0	0	0	71.883720	100.000000	13.000000	27.707115
Tree 566	50	0	0	0	0	0	0	0	0	0	0	71.978722	100.000000	2.000000	27.436184
Tree 567	47	0	0	1	0	0	0	1	0	0	1	73.795456	100.000000	11.000000	26.776499
Tree 568	49	0	0	0	0	0	0	0	0	0	0	74.326088	100.000000	21.000000	24.879759
Tree 569	46	0	0	0	1	0	1	1	0	0	0	82.953491	100.000000	18.000000	21.487640
Tree 570	49	0	0	0	0	0	0	0	0	0	0	64.391304	100.000000	10.000000	24.707399
Tree 571	56	0	0	0	0	0	0	1	1	0	1	78.698112	100.000000	42.000000	18.346338
Tree 572	55	1	1	1	1	1	1	0	1	0	1	88.903847	100.000000	28.000000	16.529995
Tree 573	46	0	0	0	0	0	1	0	0	0	0	72.511627	100.000000	24.000000	27.405119
