Tree number	size	Clan 1	Clan 2	Clan 3	Clan 4	Clan 5	Clan 6	Clan 7	Clan 8	boot_average	boot_max	boot_min	boot_stdev
Tree 71	18	0	0	0	0	0	?	0	0	52.466667	94.000000	15.000000	24.845837
Tree 72	18	0	0	0	0	0	?	0	0	60.666668	100.000000	21.000000	23.829020
Tree 73	17	0	0	0	?	0	0	0	1	45.785713	77.000000	10.000000	22.319685
Tree 74	16	0	0	0	0	0	0	0	0	63.461540	98.000000	32.000000	20.167055
Tree 75	20	1	1	0	0	1	0	1	1	68.294121	97.000000	19.000000	22.975088
Tree 76	21	0	0	0	0	0	1	1	0	51.944443	87.000000	24.000000	19.300180
Tree 77	17	0	0	0	?	0	?	0	0	60.285713	95.000000	29.000000	18.709923
Tree 78	17	0	0	0	1	0	0	1	0	49.571430	100.000000	11.000000	21.503202
Tree 79	21	0	0	0	1	0	0	0	1	51.666668	100.000000	3.000000	27.253948
Tree 80	18	0	0	0	?	0	0	0	0	47.799999	100.000000	6.000000	30.833315
Tree 81	17	1	0	0	0	0	0	0	1	56.428570	84.000000	19.000000	15.877723
Tree 82	17	1	1	0	0	0	?	1	0	63.071430	100.000000	29.000000	25.594263
Tree 83	21	0	0	0	0	1	0	0	0	58.666668	100.000000	24.000000	22.256086
Tree 84	22	0	0	0	1	0	1	0	0	50.947369	99.000000	12.000000	24.703449
Tree 85	17	0	0	0	0	0	0	1	0	48.857143	89.000000	19.000000	20.056553
Tree 86	18	0	0	0	0	0	0	0	0	66.133331	97.000000	22.000000	25.008976
Tree 87	16	0	1	0	?	0	0	1	0	64.000000	100.000000	29.000000	21.307276
Tree 88	19	0	0	0	0	0	0	0	0	57.000000	88.000000	25.000000	20.573040
Tree 89	18	0	0	0	0	0	0	0	0	55.533333	85.000000	18.000000	19.397137
Tree 90	19	0	0	0	0	0	0	0	0	56.375000	100.000000	23.000000	28.228697
Tree 91	21	0	0	0	0	0	0	1	0	54.777779	92.000000	15.000000	20.503538
Tree 92	18	0	0	0	0	0	?	0	0	47.133335	97.000000	9.000000	27.892332
Tree 93	16	0	0	0	0	0	?	0	1	52.769230	88.000000	4.000000	27.044561
Tree 94	18	0	0	0	1	0	?	0	0	51.400002	100.000000	15.000000	26.145235
Tree 95	16	0	0	0	0	0	0	0	0	32.461540	64.000000	8.000000	16.736029
Tree 96	18	0	0	0	0	0	0	1	0	53.799999	100.000000	11.000000	28.957899
Tree 97	18	0	0	0	0	0	0	0	0	64.599998	100.000000	23.000000	24.184843
Tree 98	16	0	0	0	0	0	0	0	1	49.000000	99.000000	7.000000	28.911003
Tree 99	16	0	0	0	0	0	?	1	0	56.461540	98.000000	29.000000	20.518717
Tree 100	19	1	1	0	1	1	?	1	1	70.750000	100.000000	34.000000	23.972641
Tree 101	19	0	0	0	0	0	0	0	1	46.187500	100.000000	9.000000	24.202837
Tree 102	18	0	0	0	0	0	0	1	0	47.000000	72.000000	10.000000	16.049923
Tree 103	19	0	0	0	?	1	1	1	1	69.812500	100.000000	26.000000	23.383270
