Tree number	size	Clan 1	Clan 2	Clan 3	Clan 4	Clan 5	Clan 6	Clan 7	Clan 8	boot_average	boot_max	boot_min	boot_stdev
Tree 304	16	0	0	0	1	0	1	1	0	55.615383	99.000000	31.000000	23.295885
Tree 305	20	0	0	0	0	0	0	0	0	52.470589	95.000000	12.000000	23.346790
Tree 306	15	0	0	0	0	0	?	0	0	60.333332	89.000000	37.000000	14.360439
Tree 307	16	1	1	0	0	0	?	1	1	57.307693	96.000000	23.000000	24.379641
Tree 308	16	0	0	0	?	0	?	0	0	47.000000	100.000000	11.000000	20.384760
Tree 309	19	0	0	0	?	0	0	0	0	47.000000	90.000000	7.000000	19.713573
Tree 310	16	0	0	0	1	1	?	1	0	56.538460	85.000000	19.000000	20.281158
Tree 311	21	0	0	0	0	0	0	0	0	47.833332	79.000000	19.000000	15.780614
Tree 312	19	0	0	0	0	0	1	1	0	47.625000	100.000000	6.000000	31.596825
Tree 313	19	0	0	0	?	1	0	1	1	72.125000	100.000000	37.000000	20.898191
Tree 314	24	0	0	0	0	0	1	0	0	53.476189	91.000000	32.000000	14.231484
Tree 315	17	0	0	0	0	0	1	0	1	44.071430	98.000000	11.000000	26.445265
Tree 316	18	0	0	0	?	0	1	1	0	52.133335	86.000000	25.000000	19.008301
Tree 317	16	0	0	0	0	0	?	1	1	51.461540	99.000000	3.000000	27.720072
Tree 318	17	0	0	0	?	0	0	0	0	57.785713	100.000000	22.000000	21.163239
Tree 319	24	0	0	0	0	0	0	0	0	45.619049	96.000000	9.000000	25.564999
Tree 320	17	0	0	0	0	0	1	1	0	47.857143	100.000000	20.000000	24.409767
Tree 321	15	1	1	0	0	0	?	0	0	62.000000	98.000000	28.000000	20.696217
Tree 322	20	0	0	0	0	0	0	0	1	64.588234	100.000000	13.000000	21.143930
Tree 323	15	0	1	1	1	1	0	1	1	57.000000	92.000000	21.000000	23.241486
Tree 324	17	0	0	0	?	0	0	0	1	56.357143	95.000000	10.000000	26.037355
Tree 325	23	0	0	0	0	0	0	0	0	58.799999	100.000000	25.000000	21.953588
Tree 326	18	0	0	0	0	0	?	0	0	48.466667	88.000000	7.000000	23.835173
Tree 327	18	0	0	0	1	0	?	0	0	43.000000	62.000000	18.000000	13.957077
Tree 328	16	0	0	0	?	0	0	1	1	56.692307	99.000000	9.000000	31.244408
Tree 329	18	0	0	0	1	1	0	1	0	58.666668	99.000000	19.000000	26.037580
Tree 330	16	0	0	0	?	0	0	0	1	46.538460	100.000000	3.000000	29.369305
Tree 331	17	0	0	0	?	0	0	1	0	58.071430	100.000000	22.000000	27.613310
Tree 332	17	0	0	0	0	0	0	1	0	71.142860	94.000000	22.000000	19.642727
Tree 333	16	0	0	0	?	0	?	0	0	40.384617	69.000000	10.000000	16.462257
Tree 334	21	0	0	0	0	0	0	0	0	52.722221	85.000000	29.000000	16.679348
Tree 335	16	0	0	0	0	0	0	1	0	55.230770	90.000000	17.000000	23.881611
Tree 336	18	0	0	0	0	0	?	1	0	54.200001	100.000000	18.000000	25.923475
Tree 337	15	0	0	0	0	0	?	0	0	45.166668	94.000000	7.000000	28.559391
Tree 338	19	0	1	0	1	0	0	0	0	50.812500	100.000000	10.000000	28.151863
Tree 339	17	0	0	0	0	0	?	0	0	47.571430	99.000000	8.000000	28.174747
Tree 340	19	0	1	0	?	0	1	0	1	46.937500	100.000000	9.000000	25.301849
Tree 341	19	0	0	0	0	0	1	1	0	58.500000	89.000000	27.000000	15.411035
Tree 342	17	0	0	0	?	0	?	0	1	48.571430	100.000000	18.000000	22.247677
Tree 343	22	0	0	0	0	0	0	0	1	58.368420	100.000000	9.000000	26.793970
Tree 344	16	1	1	0	1	1	?	1	1	66.846153	100.000000	24.000000	26.995287
Tree 345	18	1	1	0	0	0	1	1	1	63.333332	100.000000	30.000000	25.723312
Tree 346	15	1	0	0	1	0	0	1	1+	56.750000	100.000000	19.000000	24.712091
Tree 347	17	0	1	0	0	1	0	1	1+	53.357143	98.000000	21.000000	25.058809
Tree 348	17	0	0	0	1	0	?	1	0	58.500000	100.000000	22.000000	25.541983
Tree 349	21	0	0	0	0	1	0	0	0	53.944443	100.000000	12.000000	27.132334
Tree 350	19	0	0	0	0	0	0	0	0	49.187500	99.000000	12.000000	24.880260
Tree 351	17	0	0	0	0	0	?	1	0	50.142857	97.000000	21.000000	21.872543
Tree 352	17	0	0	0	1	1	0	0	0	54.500000	89.000000	19.000000	17.859571
Tree 353	22	0	0	0	?	0	0	0	0	49.315788	100.000000	10.000000	30.607969
Tree 354	19	0	0	0	0	0	0	1	0	47.562500	99.000000	17.000000	25.697687
Tree 355	18	0	0	0	0	0	?	0	0	50.200001	100.000000	7.000000	24.446405
Tree 356	16	0	0	0	1	0	?	1	0	67.384613	96.000000	35.000000	18.449677
Tree 357	17	0	0	0	?	0	0	0	0	48.071430	100.000000	16.000000	25.384089
Tree 358	23	0	0	0	0	0	0	1	0	55.700001	100.000000	23.000000	21.494417
Tree 359	16	0	0	0	0	0	?	1	1	59.307693	100.000000	18.000000	27.440523
Tree 360	21	1	0	0	0	0	0	1	0	55.944443	100.000000	16.000000	26.692638
Tree 361	19	0	0	0	0	0	?	0	0	47.875000	100.000000	17.000000	20.790247
Tree 362	17	0	0	0	?	0	?	0	0	56.571430	88.000000	22.000000	21.826307
Tree 363	19	0	0	0	0	0	0	0	0	43.937500	74.000000	21.000000	16.403006
Tree 364	17	0	0	0	0	0	0	0	0	56.642857	100.000000	29.000000	19.118454
Tree 365	16	0	0	0	?	0	0	0	1+	48.538460	92.000000	21.000000	20.638332
Tree 366	21	0	0	0	0	1	0	0	1	55.944443	100.000000	17.000000	27.522663
Tree 367	16	0	0	0	0	0	?	0	0	40.923077	71.000000	16.000000	16.643139
Tree 368	16	0	0	0	1	0	0	1	0	55.923077	94.000000	17.000000	18.693733
Tree 369	18	0	0	0	0	1	0	?	0	54.133335	100.000000	16.000000	25.155161
Tree 370	19	0	0	0	0	0	0	1	0	46.937500	100.000000	5.000000	31.227930
Tree 371	16	0	0	0	0	0	?	1	0	48.076923	91.000000	23.000000	18.184784
Tree 372	21	0	0	0	0	0	0	0	0	55.611111	100.000000	11.000000	22.198948
Tree 373	16	1	0	0	0	0	1	1	0	52.000000	98.000000	25.000000	21.213203
Tree 374	22	0	0	0	0	1	0	0	0	55.894737	100.000000	16.000000	20.388063
Tree 375	19	0	0	0	0	0	0	0	0	42.375000	74.000000	19.000000	15.838541
Tree 376	15	0	0	0	0	0	?	1	0	59.083332	98.000000	18.000000	21.320795
Tree 377	19	0	0	0	0	0	0	0	0	38.687500	68.000000	4.000000	18.770718
Tree 378	16	0	0	0	0	0	0	0	0	60.076923	100.000000	11.000000	25.131842
Tree 379	20	0	1	0	0	1	0	1	0	58.235294	100.000000	4.000000	27.641676
Tree 380	17	0	0	0	0	0	?	0	0	55.000000	93.000000	7.000000	25.396851
Tree 381	19	0	1	0	1	0	1	1	1	52.000000	100.000000	11.000000	27.477262
Tree 382	17	0	0	0	?	0	0	0	0	40.714287	99.000000	12.000000	22.549717
Tree 383	17	0	1	0	1	1	0	1	1	69.928574	99.000000	32.000000	17.826403
Tree 384	16	0	0	0	0	0	1	?	0	56.923077	98.000000	23.000000	22.144495
Tree 385	17	0	0	0	0	0	0	1	0	46.428570	85.000000	20.000000	21.489912
Tree 386	21	0	0	0	0	0	0	1	0	60.111111	100.000000	20.000000	26.587152
Tree 387	20	0	0	0	0	0	0	0	0	56.705883	84.000000	25.000000	18.829779
Tree 388	16	0	0	1	1	1	0	1	1+	51.384617	87.000000	26.000000	18.070539
Tree 389	20	0	0	0	0	0	1	1	0	60.588234	100.000000	18.000000	22.434372
Tree 390	18	0	0	0	?	0	1	0	0	44.799999	87.000000	13.000000	25.185181
Tree 391	18	0	0	0	0	0	0	0	0	58.733334	99.000000	22.000000	23.612049
Tree 392	16	0	0	0	?	0	?	1	0	50.769230	93.000000	19.000000	23.619268
Tree 393	18	0	0	0	0	0	0	1	0	47.466667	90.000000	21.000000	20.555183
Tree 394	16	0	0	0	1	0	0	?	0	44.000000	89.000000	20.000000	19.394686
Tree 395	16	0	0	0	0	0	?	0	0	57.538460	96.000000	21.000000	22.431486
Tree 396	16	0	1	0	0	0	?	1	1	68.692307	100.000000	34.000000	21.050798
Tree 397	16	0	0	0	?	0	0	?	0	60.307693	100.000000	12.000000	24.891718
Tree 398	21	0	0	0	1	0	0	0	0	51.833332	96.000000	15.000000	23.935677
Tree 399	22	0	0	0	0	0	0	1	0	65.421051	97.000000	29.000000	19.937576
Tree 400	16	0	0	0	0	0	0	0	0	63.923077	97.000000	25.000000	19.120918
Tree 401	15	0	0	0	1	0	0	0	1	51.166668	69.000000	20.000000	16.374947
Tree 402	21	0	0	0	?	0	0	1	1	55.833332	87.000000	22.000000	18.918684
Tree 403	20	0	0	0	1	0	0	0	0	52.529411	98.000000	10.000000	30.209305
Tree 404	16	0	0	0	0	0	?	1	1+	59.615383	100.000000	27.000000	19.209528
Tree 405	17	1	0	0	?	0	?	0	0	46.642857	91.000000	23.000000	21.985733
Tree 406	17	0	0	0	?	0	0	0	0	46.071430	98.000000	10.000000	27.834883
Tree 407	18	0	0	0	?	1	?	1	1	74.133331	100.000000	29.000000	23.528328
Tree 408	17	0	1	0	0	0	0	1	0	55.214287	98.000000	27.000000	20.515423
Tree 409	19	0	0	0	1	0	1	1	0	57.437500	97.000000	14.000000	28.881155
Tree 410	20	0	0	0	0	0	0	0	0	38.352940	63.000000	4.000000	16.095089
Tree 411	16	0	0	0	0	0	1	1	1	52.538460	100.000000	19.000000	26.508678
Tree 412	16	0	1	0	0	0	?	1	1	66.461540	96.000000	24.000000	19.205830
Tree 413	24	0	0	0	0	0	0	0	0	34.285713	78.000000	6.000000	20.433731
Tree 414	16	0	0	0	?	0	0	1	0	62.692307	100.000000	13.000000	24.183228
Tree 415	17	1	0	0	0	0	?	0	0	48.285713	94.000000	17.000000	24.013178
Tree 416	16	0	0	0	0	0	0	0	0	50.000000	85.000000	17.000000	19.721132
Tree 417	19	0	0	1	1	0	0	1	0	54.062500	100.000000	23.000000	24.800375
Tree 418	16	0	0	0	0	0	?	0	0	58.230770	100.000000	27.000000	19.900343
Tree 419	20	0	1	0	1	0	0	0	1	57.294117	96.000000	20.000000	24.868511
Tree 420	17	0	1	1	1	1	0	1	0	69.642860	100.000000	32.000000	21.592350
Tree 421	22	0	0	0	?	0	0	1	0	51.157894	98.000000	22.000000	22.716244
Tree 422	18	1	0	0	1	0	0	0	0	56.266666	97.000000	17.000000	24.117674
Tree 423	18	1	1	0	0	0	?	0	0	46.666668	93.000000	19.000000	18.581951
Tree 424	23	1	0	0	0	0	0	1	0	54.049999	100.000000	14.000000	23.603973
Tree 425	16	0	0	0	?	0	?	0	0	50.230770	99.000000	17.000000	27.788082
Tree 426	16	0	0	0	1	0	?	0	0	51.384617	78.000000	15.000000	20.447073
Tree 427	15	0	0	0	0	?	1	0	0	67.083336	100.000000	28.000000	22.544247
Tree 428	16	0	0	0	0	?	0	1	1	63.230770	97.000000	25.000000	22.793903
Tree 429	23	0	0	0	0	0	0	1	1	50.299999	100.000000	20.000000	23.634932
Tree 430	17	1	1	0	1	1	?	1	1	72.785713	100.000000	35.000000	22.338879
Tree 431	24	0	0	0	0	0	0	0	0	63.761906	100.000000	16.000000	24.287767
Tree 432	17	0	0	0	0	0	?	0	0	45.285713	98.000000	14.000000	21.561966
Tree 433	17	0	1	0	0	0	0	0	0	65.571426	100.000000	23.000000	26.521458
Tree 434	16	0	0	0	1	0	0	0	1+	52.692307	97.000000	23.000000	25.478149
Tree 435	16	0	1	0	0	0	?	0	0	39.000000	72.000000	22.000000	15.236595
Tree 436	16	0	0	0	?	0	0	0	0	39.153847	78.000000	16.000000	17.404005
Tree 437	23	0	0	0	0	0	0	0	0	51.099998	100.000000	8.000000	23.939301
Tree 438	17	0	0	0	?	0	0	0	0	36.500000	92.000000	8.000000	22.980581
Tree 439	22	0	0	0	0	1	0	1	0	54.315788	99.000000	5.000000	30.594206
Tree 440	17	0	0	0	1	0	?	0	0	57.642857	95.000000	14.000000	23.989899
Tree 441	16	0	0	0	1	0	?	0	0	61.692307	100.000000	25.000000	19.605276
Tree 442	17	0	0	0	0	0	?	1	0	50.785713	83.000000	24.000000	18.929110
Tree 443	20	0	0	0	1	0	0	1	0	60.352940	100.000000	20.000000	29.067755
Tree 444	18	0	0	0	?	0	1	0	1	45.200001	96.000000	15.000000	23.478218
Tree 445	16	0	0	0	?	0	?	0	0	46.000000	100.000000	10.000000	22.569551
Tree 446	16	0	0	0	1	1	0	1	0	54.000000	100.000000	27.000000	25.001537
Tree 447	16	0	0	0	1	0	0	1	1	51.307693	100.000000	19.000000	26.808105
Tree 448	18	0	0	0	0	0	0	0	1	42.933334	97.000000	9.000000	26.225857
Tree 449	18	0	0	0	0	0	0	1	0	56.400002	94.000000	17.000000	21.102289
Tree 450	16	0	0	0	1	0	0	0	0	57.461540	100.000000	13.000000	31.171032
Tree 451	16	0	0	0	1	0	?	0	0	48.538460	99.000000	14.000000	25.710264
Tree 452	16	0	0	0	0	0	?	0	0	56.769230	78.000000	34.000000	14.597965
Tree 453	16	0	0	0	?	0	0	0	0	44.692307	82.000000	7.000000	20.416376
Tree 454	20	0	0	0	0	0	0	1	0	58.588234	92.000000	23.000000	22.109510
Tree 455	22	0	0	0	0	0	0	0	0	49.526318	100.000000	16.000000	23.394485
Tree 456	20	0	0	0	0	0	1	0	0	53.882355	100.000000	23.000000	21.532143
Tree 457	18	0	0	0	0	0	0	0	0	35.333332	74.000000	9.000000	16.254913
Tree 458	17	0	0	0	?	0	0	1	1	57.714287	99.000000	13.000000	25.135145
Tree 459	18	0	0	0	0	1	?	1	0	56.866665	89.000000	28.000000	19.540955
Tree 460	19	0	0	0	0	0	?	0	0	43.625000	74.000000	12.000000	19.341908
Tree 461	19	0	0	0	0	?	0	?	0	54.875000	96.000000	16.000000	24.502232
Tree 462	16	0	0	0	?	?	0	0	0	33.230770	91.000000	3.000000	24.334698
Tree 463	16	0	0	0	0	0	?	0	1	50.923077	100.000000	18.000000	22.262287
Tree 464	20	0	0	0	0	0	1	0	0	45.352940	98.000000	15.000000	26.672173
Tree 465	16	1	0	0	0	0	?	0	0	49.538460	100.000000	13.000000	24.320347
Tree 466	15	1	1	0	1	0	1	1	1	60.833332	97.000000	12.000000	27.248343
Tree 467	16	0	0	0	?	0	0	0	0	57.000000	100.000000	30.000000	18.912756
Tree 468	15	1	1	0	?	0	?	0	0	65.250000	100.000000	25.000000	25.357855
Tree 469	16	0	1	0	?	1	0	1	1	46.923077	100.000000	17.000000	23.043310
Tree 470	16	0	1	1	?	0	0	1	1+	42.153847	96.000000	10.000000	24.101854
Tree 471	18	0	0	0	0	0	?	1	0	59.799999	100.000000	27.000000	22.975929
Tree 472	17	0	0	0	0	0	?	0	0	63.642857	97.000000	24.000000	24.126474
Tree 473	16	0	0	0	1	0	1	1	0	52.538460	100.000000	22.000000	23.737719
Tree 474	20	0	0	1	0	1	0	1	0	64.176468	99.000000	29.000000	21.593122
Tree 475	16	0	0	0	?	0	0	0	0	56.076923	94.000000	22.000000	21.502995
Tree 476	20	0	0	0	0	0	0	0	0	48.411766	93.000000	4.000000	25.816227
Tree 477	17	0	0	0	0	1	0	1	1	72.714287	100.000000	32.000000	19.897697
Tree 478	17	0	0	0	?	0	0	0	0	50.857143	76.000000	22.000000	14.879790
Tree 479	16	0	0	1	1	?	1	1	1	46.538460	92.000000	8.000000	24.465408
Tree 480	19	0	0	0	0	0	?	1	0	54.375000	97.000000	11.000000	24.924574
Tree 481	20	0	0	0	1	0	?	0	0	47.882355	99.000000	13.000000	27.055241
Tree 482	20	0	0	0	0	0	?	0	0	51.647060	92.000000	27.000000	17.927767
Tree 483	16	0	0	0	0	0	?	0	0	39.153847	83.000000	3.000000	22.249790
Tree 484	18	1	1	0	0	0	1	1	0	61.266666	98.000000	26.000000	20.676771
Tree 485	16	0	0	0	?	0	?	0	0	45.000000	100.000000	15.000000	21.975510
Tree 486	23	0	0	0	0	0	0	1	0	32.166668	100.000000	1.000000	23.617907
Tree 487	19	0	0	0	?	0	0	0	0	56.562500	98.000000	20.000000	23.616648
Tree 488	20	0	0	0	0	0	0	0	0	43.882355	79.000000	18.000000	18.492867
Tree 489	20	0	0	0	0	0	0	1	0	46.764706	96.000000	12.000000	24.623110
Tree 490	18	0	0	0	0	0	0	1	0	49.266666	96.000000	20.000000	18.491320
Tree 491	16	0	0	0	0	0	0	?	0	48.230770	83.000000	28.000000	16.884922
Tree 492	18	0	0	0	0	0	0	0	0	48.599998	96.000000	22.000000	22.481993
Tree 493	17	0	0	0	?	1	0	0	1	48.000000	93.000000	24.000000	17.357584
Tree 494	19	0	0	0	?	0	0	0	0	60.375000	87.000000	23.000000	20.352749
Tree 495	17	0	0	0	0	0	?	0	0	41.214287	73.000000	17.000000	18.586397
Tree 496	16	0	0	0	?	0	0	0	0	37.846153	100.000000	7.000000	22.599680
Tree 497	16	0	0	0	?	0	1	1	1	56.846153	100.000000	24.000000	23.848387
Tree 498	18	0	0	0	0	0	0	0	0	61.466667	91.000000	38.000000	15.072566
Tree 499	16	0	0	0	0	0	?	1	1	54.230770	100.000000	7.000000	27.763157
Tree 500	21	0	0	0	0	0	0	0	0	43.888889	99.000000	9.000000	27.347330
Tree 501	22	0	0	0	?	0	0	1	1	57.736843	100.000000	17.000000	25.677847
Tree 502	16	0	0	0	?	0	1	1	0	43.384617	76.000000	18.000000	14.866268
Tree 503	17	1	0	0	1	0	0	1	0	55.714287	94.000000	21.000000	25.078245
Tree 504	22	0	0	0	0	1	0	0	0	50.789474	100.000000	3.000000	24.099747
Tree 505	19	0	0	0	?	1	1	1	0	50.125000	96.000000	14.000000	25.019680
Tree 506	20	0	0	0	0	0	0	0	0	37.705883	71.000000	5.000000	16.445148
Tree 507	16	0	0	0	0	0	?	0	0	54.923077	89.000000	26.000000	20.525637
Tree 508	21	1	1	0	0	0	?	1	1	68.166664	100.000000	30.000000	23.402872
Tree 509	17	0	0	0	0	1	0	1	0	47.000000	94.000000	15.000000	25.740463
Tree 510	16	0	1	0	?	1	1	0	1	64.076920	89.000000	39.000000	15.987791
Tree 511	17	0	0	0	0	0	?	1	0	59.142857	96.000000	16.000000	24.532360
Tree 512	21	0	0	0	?	0	0	0	0	43.888889	100.000000	6.000000	24.119814
Tree 513	17	0	0	1	?	0	0	1	1	67.071426	100.000000	16.000000	24.737087
Tree 514	18	0	0	0	?	0	0	0	1+	49.933334	81.000000	11.000000	23.561172
Tree 515	16	0	0	0	1	1	0	0	0	43.692307	92.000000	23.000000	19.320713
Tree 516	16	0	0	0	?	0	0	1	1	58.307693	98.000000	22.000000	19.400177
Tree 517	18	0	0	0	0	0	0	0	0	42.599998	85.000000	8.000000	22.446381
Tree 518	20	0	0	0	0	0	0	0	0	42.529411	92.000000	11.000000	20.158543
Tree 519	20	0	0	0	0	0	0	0	0	50.941177	93.000000	20.000000	25.919493
Tree 520	20	0	0	0	0	0	0	0	0	61.470589	97.000000	30.000000	21.914589
Tree 521	17	0	0	0	0	0	?	0	0	51.357143	93.000000	20.000000	22.942810
Tree 522	21	0	0	0	0	0	?	0	0	57.666668	100.000000	22.000000	24.610294
Tree 523	16	0	0	0	0	?	0	1	0	48.461540	98.000000	25.000000	20.794287
Tree 524	17	0	0	0	0	0	0	1	0	55.142857	99.000000	28.000000	23.579218
Tree 525	16	0	0	0	0	0	?	1	1	49.615383	77.000000	14.000000	19.562675
Tree 526	18	0	0	0	0	0	?	0	0	46.266666	100.000000	14.000000	29.989925
Tree 527	21	0	0	0	0	0	0	0	0	53.722221	100.000000	8.000000	25.310968
Tree 528	16	0	0	0	?	0	0	0	0	39.615383	80.000000	9.000000	19.719332
Tree 529	18	0	0	0	0	0	0	0	0	39.599998	89.000000	2.000000	24.442585
Tree 530	19	0	0	0	0	0	0	0	0	60.562500	92.000000	28.000000	18.381269
Tree 531	16	0	0	0	?	0	0	0	0	47.769230	100.000000	26.000000	24.153845
Tree 532	19	0	0	0	0	0	1	0	0	58.687500	99.000000	32.000000	18.853775
Tree 533	19	0	0	1	1	1	0	1	0	53.812500	98.000000	8.000000	29.780905
Tree 534	16	1	1	0	1	1	?	1	1+	69.461540	100.000000	19.000000	28.001690
Tree 535	17	0	0	0	0	0	?	?	0	41.785713	100.000000	11.000000	26.325377
Tree 536	17	0	0	0	0	0	?	0	0	48.357143	93.000000	26.000000	19.948530
Tree 537	17	0	0	0	0	0	?	1	0	50.928570	100.000000	11.000000	26.708651
Tree 538	20	0	0	0	0	0	?	0	0	49.705883	99.000000	16.000000	20.599157
Tree 539	21	0	0	0	?	0	0	0	0	47.944443	100.000000	18.000000	22.581882
Tree 540	16	0	0	0	?	0	0	0	0	38.692307	86.000000	3.000000	24.262617
Tree 541	19	0	0	0	0	0	?	0	0	56.562500	99.000000	21.000000	24.341242
Tree 542	17	0	0	0	?	1	?	1	0	59.571430	100.000000	26.000000	21.718046
Tree 543	20	0	0	0	0	0	?	1	0	57.411766	100.000000	16.000000	30.078445
Tree 544	17	0	0	0	0	0	0	0	1+	52.785713	100.000000	14.000000	21.438213
Tree 545	16	0	0	0	1	0	0	0	0	50.923077	100.000000	6.000000	32.266823
Tree 546	17	0	0	0	0	0	0	0	0	46.000000	80.000000	19.000000	18.055470
Tree 547	17	0	0	0	0	0	0	1	0	54.857143	94.000000	27.000000	22.683718
Tree 548	18	0	0	0	0	0	0	0	0	57.400002	99.000000	17.000000	21.813757
Tree 549	20	0	0	0	?	0	0	0	0	40.882355	82.000000	9.000000	21.452772
Tree 550	16	0	0	0	0	0	0	0	0	55.307693	95.000000	24.000000	21.620449
Tree 551	17	0	0	0	0	1	?	0	0	47.714287	76.000000	15.000000	17.318150
Tree 552	20	0	1	0	0	0	0	1	1	64.411766	99.000000	34.000000	18.208139
Tree 553	17	0	0	0	0	0	?	1	0	59.500000	98.000000	31.000000	23.957552
Tree 554	22	0	0	0	0	0	0	0	0	53.631580	99.000000	23.000000	21.101784
Tree 555	20	0	0	0	0	?	0	0	0	48.705883	99.000000	17.000000	21.741163
Tree 556	16	0	0	0	1	0	?	0	0	46.615383	75.000000	14.000000	17.895159
Tree 557	17	0	0	0	0	0	?	0	0	49.428570	81.000000	19.000000	18.980118
Tree 558	18	0	0	0	0	0	0	0	1	42.666668	79.000000	16.000000	18.692839
Tree 559	23	0	0	0	0	0	0	0	0	33.549999	90.000000	4.000000	21.932796
Tree 560	17	0	0	0	0	0	?	0	0	52.071430	89.000000	9.000000	24.952711
Tree 561	16	0	0	0	?	0	0	1	0	48.230770	97.000000	8.000000	29.571697
Tree 562	24	0	0	0	0	0	0	0	0	46.428570	77.000000	24.000000	17.540625
Tree 563	18	0	1	0	0	0	?	0	0	65.066666	100.000000	15.000000	26.324808
Tree 564	17	0	0	0	1	0	0	0	0	55.642857	88.000000	38.000000	12.390129
Tree 565	16	0	0	0	?	0	0	?	0	59.000000	100.000000	27.000000	19.911343
Tree 566	18	1	1	0	?	0	1	0	0	62.066666	90.000000	18.000000	23.046234
Tree 567	20	0	0	0	?	0	0	0	0	36.588234	82.000000	5.000000	24.487833
Tree 568	18	0	0	0	0	0	?	0	0	51.266666	98.000000	6.000000	29.553268
Tree 569	21	0	0	0	0	0	0	0	0	47.388889	99.000000	12.000000	24.171009
Tree 570	16	0	0	0	0	0	0	0	0	51.230770	91.000000	23.000000	18.921513
Tree 571	21	0	0	0	0	0	0	0	0	58.444443	100.000000	15.000000	30.199747
Tree 572	18	1	0	0	1	1	0	1	1+	55.200001	99.000000	19.000000	22.716219
Tree 573	18	0	0	0	0	?	0	0	1	64.866669	94.000000	45.000000	15.508565
Tree 574	15	0	0	0	?	0	0	0	1	55.250000	100.000000	6.000000	30.946526
Tree 575	22	0	0	0	0	0	0	0	0	47.000000	98.000000	23.000000	20.243258
Tree 576	18	0	0	0	?	0	1	1	0	40.866665	98.000000	15.000000	22.768009
Tree 577	21	0	0	0	1	0	0	0	0	43.444443	98.000000	13.000000	19.146286
Tree 578	17	0	0	0	0	0	0	1	0	58.571430	76.000000	36.000000	11.800208
Tree 579	17	0	0	0	0	0	0	0	0	51.500000	100.000000	4.000000	31.504534
Tree 580	20	0	0	0	0	0	1	0	0	58.235294	100.000000	34.000000	22.735125
Tree 581	16	0	0	0	0	0	0	1	0	49.769230	83.000000	23.000000	17.191921
Tree 582	17	0	0	0	?	0	0	1	0	59.500000	94.000000	25.000000	18.935040
Tree 583	22	0	0	0	?	0	0	0	0	58.000000	97.000000	19.000000	20.716127
Tree 584	17	0	0	0	0	0	?	1	0	49.000000	95.000000	17.000000	21.162636
Tree 585	16	0	0	0	0	0	?	1	0	62.692307	98.000000	23.000000	22.299997
Tree 586	16	0	0	0	1	0	0	0	0	46.923077	99.000000	8.000000	28.201096
Tree 587	16	0	0	0	?	0	0	1	1+	48.384617	95.000000	8.000000	26.131439
Tree 588	19	0	0	0	0	0	0	0	0	47.062500	93.000000	13.000000	22.744419
Tree 589	21	0	0	0	0	0	0	0	0	53.555557	99.000000	13.000000	26.644203
Tree 590	23	0	0	0	0	0	0	0	0	46.750000	100.000000	6.000000	23.824095
Tree 591	18	0	0	0	1	0	1	1	1	58.599998	100.000000	15.000000	28.047104
Tree 592	16	0	1	0	1	0	?	0	0	57.230770	100.000000	20.000000	24.742222
Tree 593	21	0	0	0	0	0	1	0	0	55.500000	100.000000	7.000000	24.379522
Tree 594	21	0	0	0	0	0	0	0	0	40.944443	80.000000	13.000000	19.080158
Tree 595	19	1	0	0	0	0	0	0	0	58.062500	94.000000	20.000000	21.232254
Tree 596	16	0	0	0	?	0	?	0	0	52.615383	96.000000	16.000000	27.068399
Tree 597	15	1	0	0	?	0	?	0	1	58.000000	93.000000	11.000000	27.607367
Tree 598	16	0	0	0	?	0	?	0	1	58.923077	100.000000	16.000000	24.684040
Tree 599	16	0	0	0	0	0	0	0	0	43.846153	87.000000	19.000000	19.041843
Tree 600	18	0	0	0	?	0	0	0	0	41.799999	76.000000	23.000000	15.544346
Tree 601	24	0	0	0	0	1	0	0	0	57.714287	100.000000	29.000000	21.651224
Tree 602	18	0	0	0	0	0	0	1	0	53.571430	100.000000	10.000000	28.291124
Tree 603	19	0	0	0	0	0	0	0	0	62.187500	100.000000	37.000000	19.497496
Tree 604	19	0	0	0	0	0	0	0	1	56.125000	98.000000	20.000000	24.095837
Tree 605	17	1	1	0	1	1	?	1	1	67.500000	94.000000	25.000000	22.827770
Tree 606	17	0	0	0	0	0	?	1	1	62.214287	100.000000	24.000000	18.079897
Tree 607	17	0	0	0	0	0	1	0	0	51.071430	100.000000	18.000000	24.800531
Tree 608	22	0	0	0	0	0	0	1	0	56.052631	97.000000	17.000000	20.846491
Tree 609	17	1	0	0	?	0	0	0	1	55.500000	89.000000	24.000000	23.356707
Tree 610	19	0	0	0	0	0	?	0	0	46.312500	96.000000	17.000000	24.524780
Tree 611	18	0	0	1	0	1	0	1	0	68.066666	97.000000	9.000000	28.327763
Tree 612	17	0	0	0	?	0	0	?	0	52.285713	99.000000	15.000000	26.911041
Tree 613	22	0	0	0	0	0	0	0	0	59.736843	100.000000	17.000000	21.785658
Tree 614	19	0	0	0	0	0	0	0	1	49.687500	96.000000	26.000000	19.680952
Tree 615	16	0	0	0	?	0	0	0	0	56.153847	92.000000	29.000000	19.599239
Tree 616	15	1	0	0	1	0	0	1	0	51.583332	100.000000	13.000000	25.467163
Tree 617	17	0	0	0	1	0	?	0	1	44.214287	79.000000	4.000000	23.324354
Tree 618	16	0	0	0	?	0	0	0	0	45.076923	92.000000	17.000000	26.298468
Tree 619	21	0	0	0	0	0	?	0	0	58.666668	100.000000	7.000000	30.298515
